case,seed,state,step,Delta,variant,kinematic_mode,epoch,loss_log10,elastic_energy,optimizer_returned_loss
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,175,-7.414811134338379,3.847596730111036e-08,-7.4148101806640625
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,200,-7.414804935455322,3.847646468102539e-08,-7.41481351852417
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,225,-7.41481351852417,3.8475736374721237e-08,-7.414811611175537
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,250,-7.41481351852417,3.8475711505725485e-08,-7.414811134338379
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,1,-7.117581844329834,7.628136700077448e-08,-7.401943206787109
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,25,-7.402584552764893,3.957450900315962e-08,-7.402544021606445
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,50,-7.40334415435791,3.950540872210695e-08,-7.403334140777588
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,75,-7.403426170349121,3.949794091795411e-08,-7.403426170349121
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,100,-7.403429985046387,3.949753590859473e-08,-7.403441905975342
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,125,-7.40344762802124,3.949598337271709e-08,-7.403354167938232
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,150,-7.403450965881348,3.949566007577232e-08,-7.403450965881348
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,175,-7.403451919555664,3.949554994164828e-08,-7.403451919555664
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,200,-7.403452396392822,3.949548954551574e-08,-7.403449058532715
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,225,-7.403450012207031,3.949575244632797e-08,-7.403448581695557
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,250,-7.403454303741455,3.9495379411391696e-08,-7.403454303741455
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,1,-7.389832019805908,4.075384651969216e-08,-7.40286922454834
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,25,-7.403357982635498,3.95040764544774e-08,-7.403356552124023
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,50,-7.403445243835449,3.9496178771969426e-08,-7.403444290161133
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,75,-7.403456687927246,3.9495148485002574e-08,-7.403454303741455
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,100,-7.403459072113037,3.94948926896177e-08,-7.403459072113037
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,125,-7.40346097946167,3.949478255549366e-08,-7.40346097946167
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,150,-7.403439998626709,3.949664062474767e-08,-7.403432846069336
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,175,-7.403459072113037,3.949486426790827e-08,-7.403461456298828
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,200,-7.40346097946167,3.949473637021583e-08,-7.403461456298828
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,225,-7.4034624099731445,3.9494612025237075e-08,-7.4034624099731445
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,250,-7.4034624099731445,3.949460491980972e-08,-7.4034624099731445
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,1,-7.389832019805908,4.075384651969216e-08,-7.40286922454834
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,25,-7.403377056121826,3.950235694105686e-08,-7.403366565704346
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,50,-7.403445243835449,3.949619653553782e-08,-7.403444290161133
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,75,-7.4034576416015625,3.949504545630589e-08,-7.403456687927246
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,100,-7.4034600257873535,3.949480742448941e-08,-7.403458118438721
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,125,-7.403456687927246,3.949510585243843e-08,-7.40346097946167
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,150,-7.403461456298828,3.9494640446946505e-08,-7.403461456298828
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,175,-7.4034624099731445,3.949460136709604e-08,-7.4034624099731445
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,200,-7.403461456298828,3.949468663222433e-08,-7.403461456298828
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,225,-7.403463363647461,3.9494551629104535e-08,-7.4034624099731445
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,250,-7.403463363647461,3.949453031282246e-08,-7.403463363647461
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,1,-7.404079437255859,3.9438546650671924e-08,-7.416297912597656
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,25,-7.416836261749268,3.82969460588356e-08,-7.416830539703369
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,50,-7.416886806488037,3.829244832331824e-08,-7.416886806488037
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,75,-7.4168877601623535,3.829242345432249e-08,-7.4168701171875
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,100,-7.416902542114258,3.829107697583822e-08,-7.4168925285339355
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,125,-7.416891574859619,3.829207173566829e-08,-7.416903972625732
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,150,-7.416904926300049,3.829089934015428e-08,-7.416904926300049
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,175,-7.416904926300049,3.8290863813017495e-08,-7.416904926300049
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,200,-7.416888236999512,3.829232753105316e-08,-7.416904926300049
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,225,-7.416896820068359,3.8291599224749007e-08,-7.416904926300049
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,250,-7.416905879974365,3.8290799864171277e-08,-7.416901588439941
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,1,-7.334018707275391,4.634272698922359e-08,-7.4004621505737305
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,25,-7.401242733001709,3.969697104366787e-08,-7.401135444641113
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,50,-7.4022040367126465,3.960922612122886e-08,-7.4022979736328125
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,75,-7.402490139007568,3.9583113675689674e-08,-7.4024858474731445
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,100,-7.402597904205322,3.957335792392769e-08,-7.402595043182373
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,125,-7.402601718902588,3.957294580914095e-08,-7.402604103088379
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,150,-7.402590274810791,3.957396543796676e-08,-7.40261173248291
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,175,-7.40254545211792,3.957809013854785e-08,-7.4025397300720215
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,200,-7.402617454528809,3.957148919653264e-08,-7.40261697769165
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,225,-7.402619361877441,3.9571382615122275e-08,-7.402617454528809
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,250,-7.402618408203125,3.9571467880250566e-08,-7.4026198387146
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,1,-7.333641529083252,4.638298634063176e-08,-7.401857376098633
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,25,-7.402416229248047,3.958988514796147e-08,-7.402380466461182
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,50,-7.402600288391113,3.957310923397017e-08,-7.402597904205322
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,75,-7.402624130249023,3.9570906551489315e-08,-7.402624130249023
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,100,-7.402627468109131,3.957059391268558e-08,-7.402628421783447
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,125,-7.402629852294922,3.9570405618860605e-08,-7.402629852294922
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,150,-7.402630805969238,3.9570281273881847e-08,-7.402630805969238
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,175,-7.402629852294922,3.957035943358278e-08,-7.402630805969238
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,200,-7.402631759643555,3.957021021960827e-08,-7.402631759643555
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,225,-7.402631759643555,3.957022087774931e-08,-7.402632713317871
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,250,-7.402631759643555,3.957021732503563e-08,-7.402632713317871
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,1,-7.333641529083252,4.638298634063176e-08,-7.401857376098633
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,25,-7.4024529457092285,3.958653138624868e-08,-7.40242862701416
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,50,-7.402602672576904,3.957287830758105e-08,-7.402609348297119
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,75,-7.402624130249023,3.957092076234403e-08,-7.402624130249023
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,100,-7.4026265144348145,3.95706578615318e-08,-7.402620792388916
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,125,-7.402626037597656,3.957077865379688e-08,-7.402629375457764
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,150,-7.402627468109131,3.957060101811294e-08,-7.402629852294922
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,175,-7.402630805969238,3.957032390644599e-08,-7.402630805969238
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,200,-7.402629375457764,3.957048377856154e-08,-7.402630805969238
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,225,-7.402629852294922,3.95703558808691e-08,-7.402631759643555
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,250,-7.402631759643555,3.957024574674506e-08,-7.402630805969238
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,1,-7.396778583526611,4.0107174470449536e-08,-7.415875434875488
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,25,-7.416555404663086,3.8321729789458914e-08,-7.416543960571289
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,50,-7.416652202606201,3.831317485492036e-08,-7.416655540466309
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,75,-7.416665554046631,3.8311952721414855e-08,-7.416665554046631
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,100,-7.416644096374512,3.8313878292228765e-08,-7.416668891906738
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,125,-7.416668891906738,3.831166850432055e-08,-7.416667938232422
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,150,-7.416670322418213,3.831156192291019e-08,-7.416670322418213
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,175,-7.416670322418213,3.831151929034604e-08,-7.416670322418213
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,200,-7.416671276092529,3.8311505079491326e-08,-7.416667938232422
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,225,-7.416671276092529,3.8311476657781895e-08,-7.416671276092529
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,250,-7.416671276092529,3.8311476657781895e-08,-7.416671276092529
