case,seed,variant,bc_treatment,topology,stiffness_treatment,delta_mm,node_dof_count,scalar_dof_count,active_element_count,zero_stiffness_element_count,component_count,prescribed_dof_count,delta_control_dof_count,auto_anchor_count,solve_status,elastic_energy_Nmm_proxy,top_sigma_integral_reaction_N,bottom_sigma_integral_reaction_N,top_constrained_dof_reaction_N,bottom_constrained_dof_reaction_N,energy_conjugate_reaction_N,all_boundary_force_residual_x_N,all_boundary_force_residual_y_N,all_boundary_force_residual_magnitude_N,implementation_note
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,original_top_bottom_bc,continuous,crack_band_void,0.0001999999803956598,2760,5520,5249,162,2,61,20,1,solved,-1.1130329473261788e-17,2.270166053847394e-15,0.0,2.6129272356900657e-14,0.0,2.6129272356900657e-14,2.2724914336823653e-15,-2.5546591120276515e-14,2.5647466447638655e-14,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,minimal_rigid_body_bc,continuous,crack_band_void,0.0001999999803956598,2760,5520,5249,162,2,6,2,6,solved,-2.932475421551272e-17,-1.1239012988746993e-13,0.0,-2.0079424234431542e-13,0.0,-2.0079424234431542e-13,5.415073828045533e-15,-4.1876492559392663e-13,4.1879993544919516e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,original_top_bottom_bc,piecewise_upper_lower,crack_band_void,0.0001999999803956598,2760,5520,5249,162,2,61,20,1,solved,-1.1130329473261788e-17,2.270166053847394e-15,0.0,2.6129272356900657e-14,0.0,2.6129272356900657e-14,2.2724914336823653e-15,-2.5546591120276515e-14,2.5647466447638655e-14,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,minimal_rigid_body_bc,piecewise_upper_lower,crack_band_void,0.0001999999803956598,2760,5520,5249,162,2,6,2,6,solved,-2.932475421551272e-17,-1.1239012988746993e-13,0.0,-2.0079424234431542e-13,0.0,-2.0079424234431542e-13,5.415073828045533e-15,-4.1876492559392663e-13,4.1879993544919516e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,original_top_bottom_bc,piecewise_upper_lower,current_split,0.0001999999803956598,2848,5696,5411,0,2,61,20,1,solved,-9.899067880636846e-18,1.0647326703169345e-13,0.0,1.1590121223870042e-13,0.0,1.1590121223870042e-13,2.9454284990152556e-14,9.58153841017993e-14,1.0024042465421054e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,minimal_rigid_body_bc,piecewise_upper_lower,current_split,0.0001999999803956598,2848,5696,5411,0,2,6,2,6,solved,2.5865722671350063e-18,4.762209344230389e-14,0.0,1.192622389734055e-13,0.0,1.192622389734055e-13,1.8599177998539565e-13,1.8904256975827126e-13,2.6519810595655974e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,original_top_bottom_bc,continuous,current_split,0.0001999999803956598,2786,5572,5411,0,1,60,20,0,solved,7.37385213470819e-07,0.007362949225679203,-0.0074377174820068545,0.007373852857067058,-0.007373852857471194,0.007373852857067058,0.00020412891880364383,-0.0004277443929274049,0.000473955568774942,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,minimal_rigid_body_bc,continuous,current_split,0.0001999999803956598,2786,5572,5411,0,1,5,2,5,solved,7.331957869620825e-07,0.005209511623231968,-0.005323926490117819,0.00733195858815738,-0.007331958588168251,0.00733195858815738,0.0033900986318894247,-0.0002299334930283498,0.00339788730612932,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,original_top_bottom_bc,continuous,crack_band_void,0.0001999999803956598,2759,5518,5248,163,2,61,20,1,solved,2.4554953338404684e-18,-2.1801969067599804e-13,0.0,-2.2714035513571318e-13,0.0,-2.2714035513571318e-13,4.7869349265359706e-14,-2.7110997416190643e-13,2.753036372610405e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,minimal_rigid_body_bc,continuous,crack_band_void,0.0001999999803956598,2759,5518,5248,163,2,6,2,6,solved,-1.3412627762185396e-17,1.0746109192645202e-13,0.0,1.43982048506075e-13,0.0,1.43982048506075e-13,8.639766857881977e-14,3.4210039153091075e-13,3.528416571515586e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,original_top_bottom_bc,piecewise_upper_lower,crack_band_void,0.0001999999803956598,2759,5518,5248,163,2,61,20,1,solved,2.4554953338404684e-18,-2.1801969067599804e-13,0.0,-2.2714035513571318e-13,0.0,-2.2714035513571318e-13,4.7869349265359706e-14,-2.7110997416190643e-13,2.753036372610405e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,minimal_rigid_body_bc,piecewise_upper_lower,crack_band_void,0.0001999999803956598,2759,5518,5248,163,2,6,2,6,solved,-1.3412627762185396e-17,1.0746109192645202e-13,0.0,1.43982048506075e-13,0.0,1.43982048506075e-13,8.639766857881977e-14,3.4210039153091075e-13,3.528416571515586e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,original_top_bottom_bc,piecewise_upper_lower,current_split,0.0001999999803956598,2844,5688,5411,0,2,61,20,1,solved,2.9180310353938364e-17,-1.3598493676457377e-13,0.0,-1.3877787807814457e-13,0.0,-1.3877787807814457e-13,3.863665931776635e-14,-1.9224542102439027e-13,1.9608950341127956e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,minimal_rigid_body_bc,piecewise_upper_lower,current_split,0.0001999999803956598,2844,5688,5411,0,2,6,2,6,solved,1.1603559236572192e-17,-1.2718533522091786e-13,0.0,-1.687018580387445e-13,0.0,-1.687018580387445e-13,2.6927359604175415e-13,-4.0721450174725235e-13,4.881925029724655e-13,linear CST diagnostic with plane-stress isotropic degraded stiffness; TM spectral split is approximated by frozen-alpha scalar stiffness for reaction auditing
