case,seed,variant,bc_treatment,top_sigma_integral_reaction_N,bottom_sigma_integral_reaction_N,top_constrained_dof_reaction_N,bottom_constrained_dof_reaction_N,energy_conjugate_reaction_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_to_top_ratio,internal_cut_below_to_top_ratio,crack_band_interface_force_N,all_boundary_force_residual_N,energy_reaction_abs_below_1e_3N,top_sigma_abs_below_1e_3N,crack_interface_abs_below_1e_3N
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,original_top_bottom_bc,0.007959751516285682,-0.008036556645184876,0.00796929081143486,-0.007969290811139068,0.00796929081143486,0.007969202148763338,0.007972338344815179,1.001187302450123,1.0015813092285286,0.0189392299098436,0.0005265714280783468,False,False,False
D0040_seed7_default_unitbox,7,fedof_continuous_current_split,minimal_rigid_body_bc,0.005637371586381216,-0.005759819531971789,0.00791983333057458,-0.007919833330706193,0.00791983333057458,0.00789552757675555,0.007920203578633763,1.4005689452562604,1.4049461628123685,0.01984461866679037,0.0036737137925551854,False,False,False
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,original_top_bottom_bc,-2.498043896949281e-14,0.0,-1.713039432527097e-14,0.0,-1.713039432527097e-14,-2.7230370403971534e-14,0.0,1.0900677300837842,-0.0,3.778001377806808e-14,6.680661515883027e-14,True,True,True
D0040_seed7_default_unitbox,7,fedof_continuous_crack_band_void,minimal_rigid_body_bc,7.218821447237771e-14,0.0,8.847089727481716e-14,0.0,8.847089727481716e-14,-9.28686018210484e-15,0.0,-0.12864787209355882,0.0,7.855707080577795e-14,2.7467604366198674e-13,True,True,True
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,original_top_bottom_bc,-2.498043896949281e-14,0.0,-1.713039432527097e-14,0.0,-1.713039432527097e-14,-2.7230370403971534e-14,0.0,1.0900677300837842,-0.0,3.778001377806808e-14,6.680661515883027e-14,True,True,True
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_crack_band_void,minimal_rigid_body_bc,7.218821447237771e-14,0.0,8.847089727481716e-14,0.0,8.847089727481716e-14,-9.28686018210484e-15,0.0,-0.12864787209355882,0.0,7.855707080577795e-14,2.7467604366198674e-13,True,True,True
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,original_top_bottom_bc,1.995548284189864e-13,0.0,2.1098574276567916e-13,0.0,2.1098574276567916e-13,-2.8190384560427957e-13,0.0,-1.4126636164993849,0.0,4.2284098345109624e-14,2.0074846756618237e-13,True,True,True
D0040_seed7_default_unitbox,7,fedof_piecewise_upper_lower_current_split,minimal_rigid_body_bc,-1.8819530432295734e-13,0.0,-2.2421300927000232e-13,0.0,-2.2421300927000232e-13,-8.470091720954332e-14,0.0,0.4500692379879476,-0.0,3.6092802600119043e-14,6.489828745645227e-13,True,True,True
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,original_top_bottom_bc,0.007461224731703281,-0.007535905582599472,0.007469936758453541,-0.007469936758476299,0.007469936758453541,0.007419686434912778,0.007480188478878416,0.9944327776894316,1.0025416399930371,0.019229060351005564,0.0004913717601642182,False,False,False
D0040_seed13_default_unitbox,13,fedof_continuous_current_split,minimal_rigid_body_bc,0.005276001998295138,-0.0054042193126289115,0.00742688396704631,-0.007426883967747582,0.00742688396704631,0.007308597017855723,0.007448353217405802,1.3852528903926473,1.4117419250054544,0.020324346276889633,0.0035000150584910497,False,False,False
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,original_top_bottom_bc,2.270166053847394e-15,0.0,2.6129272356900657e-14,0.0,2.6129272356900657e-14,-9.979378548807452e-14,0.0,,,4.9949048785403743e-14,2.5647466447638655e-14,True,True,True
D0040_seed13_default_unitbox,13,fedof_continuous_crack_band_void,minimal_rigid_body_bc,-1.1239012988746993e-13,0.0,-2.0079424234431542e-13,0.0,-2.0079424234431542e-13,8.781254476254062e-14,0.0,-0.781319007731929,-0.0,6.042523841945686e-14,4.1879993544919516e-13,True,True,True
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,original_top_bottom_bc,2.270166053847394e-15,0.0,2.6129272356900657e-14,0.0,2.6129272356900657e-14,-9.979378548807452e-14,0.0,,,4.9949048785403743e-14,2.5647466447638655e-14,True,True,True
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,minimal_rigid_body_bc,-1.1239012988746993e-13,0.0,-2.0079424234431542e-13,0.0,-2.0079424234431542e-13,8.781254476254062e-14,0.0,-0.781319007731929,-0.0,6.042523841945686e-14,4.1879993544919516e-13,True,True,True
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,original_top_bottom_bc,1.0647326703169345e-13,0.0,1.1590121223870042e-13,0.0,1.1590121223870042e-13,5.86961827193589e-14,0.0,0.5512762438470781,0.0,4.821955769751839e-14,1.0024042465421054e-13,True,True,True
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,minimal_rigid_body_bc,4.762209344230389e-14,0.0,1.192622389734055e-13,0.0,1.192622389734055e-13,3.8164471064681293e-13,0.0,8.014026328119973,0.0,4.052133888227303e-14,2.6519810595655974e-13,True,True,True
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,original_top_bottom_bc,0.007362949225679203,-0.0074377174820068545,0.007373852857067058,-0.007373852857471194,0.007373852857067058,0.007364650963791609,0.007377782632784015,1.0002311218046256,1.0020146013031135,0.019401662883657148,0.000473955568774942,False,False,False
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,minimal_rigid_body_bc,0.005209511623231968,-0.005323926490117819,0.00733195858815738,-0.007331958588168251,0.00733195858815738,0.0072846127251109515,0.007313520759486462,1.3983292968624947,1.4038783840833764,0.020588109988564578,0.00339788730612932,False,False,False
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,original_top_bottom_bc,-2.1801969067599804e-13,0.0,-2.2714035513571318e-13,0.0,-2.2714035513571318e-13,-2.3766224906923936e-13,0.0,1.0900953410783083,-0.0,3.340967737409483e-14,2.753036372610405e-13,True,True,True
D0040_seed42_default_unitbox,42,fedof_continuous_crack_band_void,minimal_rigid_body_bc,1.0746109192645202e-13,0.0,1.43982048506075e-13,0.0,1.43982048506075e-13,2.93363786660318e-14,0.0,0.27299535245845125,0.0,5.688682558435787e-14,3.528416571515586e-13,True,True,True
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,original_top_bottom_bc,-2.1801969067599804e-13,0.0,-2.2714035513571318e-13,0.0,-2.2714035513571318e-13,-2.3766224906923936e-13,0.0,1.0900953410783083,-0.0,3.340967737409483e-14,2.753036372610405e-13,True,True,True
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_crack_band_void,minimal_rigid_body_bc,1.0746109192645202e-13,0.0,1.43982048506075e-13,0.0,1.43982048506075e-13,2.93363786660318e-14,0.0,0.27299535245845125,0.0,5.688682558435787e-14,3.528416571515586e-13,True,True,True
D0040_seed42_default_unitbox,42,fedof_piecewise_upper_lower_current_split,original_top_bottom_bc,-1.3598493676457377e-13,0.0,-1.3877787807814457e-13,0.0,-1.3877787807814457e-13,-2.0402222048951276e-13,0.0,1.5003295610802077,-0.0,3.10890074754164e-14,1.9608950341127956e-13,True,True,True
