case,quadrature_rule,regularization,regularization_weight,max_abs_temperature_error_K,l2_temperature_error_K,max_abs_correction_K,l2_correction_K,max_abs_strong_residual_W_per_m3,rms_strong_residual_W_per_m3,normalized_residual_max,normalized_residual_rms,final_total_loss
no_training_lift,centroid,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836000000000000.1
trained_centroid,centroid,none,0.0,0.0004752286448592713,0.0002846484229769935,0.0004752286448592713,0.0002846484229769935,72409938592.41002,51367606002.89942,0.0008660610491253389,0.0006144137993907728,835995246437027.4
trained_triangle_3point,triangle_3point,none,0.0,0.0003703253884168589,0.00018909598729855144,0.0003703253884168589,0.00018909598729855144,48776662018.449715,31653716464.40541,0.0005835101016116359,0.00037864696630178013,835999995265788.0
trained_triangle_3point_corr_l2,triangle_3point,correction_l2,1000000000000.0,0.0003693907176511857,0.000188595360983287,0.0003693907176511857,0.000188595360983287,48626523709.93762,31564566786.24741,0.0005817138620095239,0.0003775804999175871,835999995298187.8
