epoch,loss
1,1.9134417925670277e-06
100,5.30020656697161e-07
200,9.237237641457341e-09
300,5.1600741457491495e-09
400,4.498559746934916e-09
500,4.247470819507271e-09
600,4.091313954290854e-09
700,3.996234010372746e-09
800,3.946843740720851e-09
900,3.873933174247668e-09
1000,3.831918782282173e-09
