epoch,loss
1,1.921154762385413e-06
100,4.977443381903868e-07
200,1.2491498502242848e-08
300,6.487600678894978e-09
400,5.3628914642445125e-09
500,4.8292818632944545e-09
600,4.651870888494614e-09
700,4.470866787897876e-09
800,4.316862867170812e-09
900,4.25413793081475e-09
1000,4.191073266213152e-09
