epoch,loss
1,1.2543223419925198e-06
100,2.853930993751419e-07
200,9.077334994778141e-10
300,2.7142210701214253e-10
400,1.4817549964796228e-10
500,8.741653928501236e-11
600,7.456588124732377e-11
700,7.184035311080805e-11
800,6.410981467919186e-11
900,5.893963789249668e-11
1000,5.656070056758722e-11
