epoch,loss
1,1.2438111980372923e-06
100,2.1474899369877676e-07
200,9.137067213949024e-10
300,1.960525353172926e-10
400,7.302575905088204e-11
500,5.986285078751763e-11
600,5.0543107893430417e-11
700,4.7376724071623855e-11
800,4.4031583934511787e-11
900,3.768303724616118e-11
1000,4.077055359985593e-11
