step,Delta_mm,strain,reaction_old_N,reaction_tm_eff_N,stress_old_N_per_mm2,stress_tm_eff_N_per_mm2
0,1e-06,9.999999999999999e-05,0.03933576770975833,0.036790656537277755,3933.5767709758325,3679.065653727775
1,5e-06,0.0005,0.23505674397483745,0.19485618230419277,23505.67439748374,19485.618230419277
2,1e-05,0.001,0.4672228443496351,0.37811033388379656,46722.284434963505,37811.033388379656
3,1.5e-05,0.0015,0.672510659001091,0.5323103776504468,67251.0659001091,53231.03776504467
4,2e-05,0.002,0.8321218605331637,0.6384655220017521,83212.18605331637,63846.5522001752
5,2.5e-05,0.0025,0.9469885052055815,0.6913331127407218,94698.85052055815,69133.31127407218
6,3e-05,0.003,1.0121339189197442,0.6944145437728366,101213.39189197442,69441.45437728366
7,3.5e-05,0.0034999999999999996,1.0733348926805775,0.6810261420469033,107333.48926805773,68102.61420469033
8,4e-05,0.004,1.1238785275509144,0.6598621717444075,112387.85275509143,65986.21717444075
9,4.5e-05,0.0045000000000000005,1.193446218394456,0.6723256564100666,119344.6218394456,67232.56564100666
10,4.7e-05,0.004699999999999999,1.2251554664999276,0.6858867274672775,122515.54664999274,68588.67274672775
11,4.9e-05,0.0049,1.2117889585852026,0.6783184534242537,121178.89585852025,67831.84534242537
12,5.1e-05,0.0050999999999999995,1.252945402484329,0.6992498993554364,125294.54024843288,69924.98993554364
13,5.3e-05,0.0053,1.2509948016941053,0.6991987857531967,125099.48016941051,69919.87857531967
14,5.5e-05,0.0055,1.263186130216809,0.703553675805324,126318.6130216809,70355.3675805324
15,5.7e-05,0.0057,1.3023871407256138,0.7220018785858429,130238.71407256137,72200.18785858428
16,5.9e-05,0.0059,1.3066902508853673,0.7249782777307701,130669.02508853671,72497.827773077
17,6.1e-05,0.0060999999999999995,1.3353350363729533,0.7412055034592413,133533.5036372953,74120.55034592413
18,6.3e-05,0.0063,1.3251271222998184,0.7326648938601465,132512.71222998184,73266.48938601465
19,6.5e-05,0.0065,1.397588554482354,0.7721036484440447,139758.8554482354,77210.36484440447
20,6.7e-05,0.0067,1.382474443744286,0.7630189836049794,138247.4443744286,76301.89836049794
21,6.9e-05,0.0069,1.364608176416482,0.7549043588994664,136460.81764164817,75490.43588994663
22,7.1e-05,0.0071,1.3426982449331604,0.7411680773259377,134269.82449331603,74116.80773259376
23,7.3e-05,0.0073,1.3913146381447916,0.7658575750895125,139131.46381447915,76585.75750895124
24,7.5e-05,0.007499999999999999,1.3671431193529315,0.7533584454790798,136714.31193529314,75335.84454790798
25,7.7e-05,0.0077,1.3388410423544883,0.7365050195744516,133884.10423544882,73650.50195744516
26,8e-05,0.008,1.369036817777669,0.7515203475350063,136903.6817777669,75152.03475350063
27,8.3e-05,0.0083,1.4026695164943703,0.769714954714118,140266.95164943702,76971.49547141179
28,8.6e-05,0.0086,1.367436258988164,0.7446596792419768,136743.6258988164,74465.96792419768
29,8.9e-05,0.0089,1.445523439898011,0.7818838507844816,144552.3439898011,78188.38507844816
30,9.2e-05,0.0092,1.5043080878740511,0.8165597037645966,150430.8087874051,81655.97037645966
31,9.5e-05,0.0095,1.3891398558598667,0.7335562110597493,138913.98558598667,73355.62110597493
32,9.8e-05,0.0098,1.4223004039379816,0.7613299683555397,142230.04039379815,76132.99683555396
33,0.0001,0.01,1.5440425015640358,0.820360016007271,154404.25015640358,82036.0016007271
