file_changed,change_type,reason,affects_no_thermal_default,affects_physics_model,affects_boundary_conditions,affects_material_or_l0,affects_history_or_loss,comment
load_schedules/load_schedule_D0015_tension_thermal_compensation.csv,added diagnostic input,nine-step tension schedule crossing delta_T=20 K compensation estimate,False,False,False,False,False,used only when explicitly passed by --load-schedule-file
runs/20260623_stronger_prescribed_temperature_tension_diagnostic/*,added evidence package,"report, tables, figures, and handoff for stronger diagnostic",False,False,False,False,False,no model/source behavior change
